Config,Subject,Condition,Status,Shape
cov_4s_50ov,G06,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G07,EC,Success,"(122, 8, 8)"
cov_4s_50ov,G07,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G08,EC,Success,"(109, 8, 8)"
cov_4s_50ov,G08,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G09,EC,Success,"(108, 8, 8)"
cov_4s_50ov,G09,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G10,EC,No data found,N/A
cov_4s_50ov,G10,CPT,No data found,N/A
cov_4s_50ov,G11,EC,Success,"(110, 8, 8)"
cov_4s_50ov,G11,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G12,EC,Success,"(100, 8, 8)"
cov_4s_50ov,G12,CPT,No data found,N/A
cov_4s_50ov,G13,EC,Success,"(108, 8, 8)"
cov_4s_50ov,G13,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G14,EC,Success,"(53, 8, 8)"
cov_4s_50ov,G14,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G15,EC,Success,"(119, 8, 8)"
cov_4s_50ov,G15,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G16,EC,Success,"(119, 8, 8)"
cov_4s_50ov,G16,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G17,EC,Success,"(120, 8, 8)"
cov_4s_50ov,G17,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G18,EC,Success,"(120, 8, 8)"
cov_4s_50ov,G18,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G19,EC,Success,"(122, 8, 8)"
cov_4s_50ov,G19,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G20,EC,Success,"(119, 8, 8)"
cov_4s_50ov,G20,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G21,EC,Success,"(110, 8, 8)"
cov_4s_50ov,G21,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G22,EC,Success,"(106, 8, 8)"
cov_4s_50ov,G22,CPT,Success,"(222, 8, 8)"
cov_4s_50ov,G23,EC,Success,"(109, 8, 8)"
cov_4s_50ov,G23,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G24,EC,No data found,N/A
cov_4s_50ov,G24,CPT,No data found,N/A
cov_4s_50ov,G25,EC,Success,"(113, 8, 8)"
cov_4s_50ov,G25,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G26,EC,Success,"(112, 8, 8)"
cov_4s_50ov,G26,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G27,EC,Success,"(78, 8, 8)"
cov_4s_50ov,G27,CPT,No data found,N/A
cov_4s_50ov,G28,EC,Success,"(109, 8, 8)"
cov_4s_50ov,G28,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G29,EC,Success,"(103, 8, 8)"
cov_4s_50ov,G29,CPT,Success,"(221, 8, 8)"
cov_4s_50ov,G30,EC,Success,"(113, 8, 8)"
cov_4s_50ov,G30,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G31,EC,Success,"(115, 8, 8)"
cov_4s_50ov,G31,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G32,EC,Success,"(104, 8, 8)"
cov_4s_50ov,G32,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G33,EC,Success,"(105, 8, 8)"
cov_4s_50ov,G33,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G34,EC,Success,"(105, 8, 8)"
cov_4s_50ov,G34,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G35,EC,Success,"(107, 8, 8)"
cov_4s_50ov,G35,CPT,Success,"(222, 8, 8)"
cov_4s_50ov,G36,EC,Success,"(106, 8, 8)"
cov_4s_50ov,G36,CPT,Success,"(223, 8, 8)"
cov_4s_50ov,G37,EC,Success,"(103, 8, 8)"
